,state_id,STATEFP,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
0,AK,02,145890,190747,16660,0.412938688978395,0.5399055185863452,0.04715579243525985,0,1,0
1,AL,01,913999,1385344,3869,0.3968366785167844,0.6014834934864876,0.0016798279967280476,0,1,0
2,AR,05,0,792891,399064,0.0,0.6652021259191832,0.3347978740808168,0,1,0
3,AZ,04,1716467,1637661,594,0.5116570016830009,0.48816593446491247,0.00017706385208670047,1,0,0
4,CO,08,1730741,1429111,75003,0.5350289271080156,0.441785180479496,0.02318589241248835,1,0,0
5,DE,10,291804,186054,13077,0.5943841852791103,0.3789788872253964,0.026636927495493293,1,0,0
8,IA,19,754859,864997,50760,0.4518447087780795,0.5177712891532226,0.030384002068698013,0,1,0
9,ID,16,285864,537445,35517,0.3328543849394406,0.6257903230689337,0.04135529199162578,0,1,0
10,IL,17,3203607,2294028,362759,0.5466538597916796,0.39144603588086396,0.06190010432745648,1,0,0
11,KS,20,553019,711507,65528,0.4157868778260131,0.53494594956295,0.049267172611036844,0,1,0
12,KY,21,816143,1233057,85390,0.3823418080287081,0.577655193737439,0.04000299823385287,0,1,0
13,LA,22,730989,1267291,73263,0.35287174825721696,0.6117618606034246,0.03536639113935844,0,1,0
14,MA,25,2247394,1136318,25038,0.6593015034836817,0.33335328199486614,0.0073452145214521454,1,0,0
15,ME,23,325422,385881,51149,0.4268098188476127,0.5061053023665752,0.0670848787858121,0,1,0
16,MI,26,2735204,2638465,103760,0.49935909712385135,0.48169770890686125,0.018943193969287415,1,0,0
17,MN,27,1568876,1399834,247631,0.4877828563575815,0.43522561817916694,0.07699152546325157,1,0,0
18,MS,28,576961,709107,23821,0.44046556616629345,0.5413489234583999,0.01818551037530661,0,1,0
19,MT,30,272463,333174,0,0.4498783925024396,0.5501216074975604,0.0,0,1,0
20,NC,37,2569971,2665604,239386,0.46940443959326833,0.4868717786300213,0.04372378177671037,0,1,0
21,NE,31,224201,580320,92733,0.24987461744388992,0.6467733774382728,0.1033520051178373,0,1,0
22,NH,33,450778,326229,18596,0.566586601609094,0.41003993197612376,0.023373466414782246,1,0,0
23,NJ,34,2540205,1816494,85415,0.5718459724356466,0.4089255701226938,0.019228457441659533,1,0,0
24,NM,35,474473,418477,24272,0.5172935232691759,0.4562439627483859,0.026462513982438277,1,0,0
25,OK,40,509763,979140,67458,0.32753519267059505,0.629121392787406,0.043343414541998936,0,1,0
26,OR,41,1326945,920505,86607,0.568514393607354,0.3943798287702485,0.0371057776223974,1,0,0
27,RI,44,327407,164771,0,0.6652207128315366,0.33477928716846345,0.0,1,0,0
28,SC,45,1110828,1369137,32845,0.44206605354165257,0.5448629223856957,0.013071024072651732,0,1,0
29,SD,46,143987,276232,0,0.3426475242671083,0.6573524757328917,0.0,0,1,0
30,TN,47,1035903,1827905,77903,0.3521430215272676,0.621374771349055,0.026482207123677343,0,1,0
31,TX,48,4890380,5964997,293443,0.4386455248178731,0.5350339318421142,0.026320543340012666,0,1,0
32,VA,51,2466500,1934199,0,0.5604791420635676,0.43952085793643236,0.0,1,0,0
33,WV,54,210215,547210,21141,0.2700028000195231,0.7028434326698058,0.027153767310671158,0,1,0
34,WY,56,72766,198100,0,0.2686420591731705,0.7313579408268295,0.0,0,1,0
