,state_id,STATEFP,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
0,AK,02,153551,189457,13788,0.43036076637630466,0.5309953026379219,0.038643930985773386,0,1,0
1,AL,01,849624,1441170,32488,0.36569990212122333,0.620316431668648,0.013983666210128603,0,1,0
2,AR,05,423602,759736,34403,0.3478588632558155,0.6238896448423762,0.028251491901808347,0,1,0
3,AZ,04,1672143,1661686,52016,0.4938628318780098,0.4907743857146443,0.015362782407345876,1,0,0
4,CA,06,11020102,5934931,374981,0.6358968896389813,0.34246544751781505,0.021637662843203703,1,0,0
5,CO,08,1803943,1364227,87941,0.5540176609458338,0.4189743531470518,0.027007985907114347,1,0,0
6,CT,09,1080575,715651,28600,0.592152347675888,0.3921749251709478,0.01567272715316419,1,0,0
7,DC,11,307265,18172,8245,0.9208318099268166,0.054459035848502466,0.024709154224680983,1,0,0
8,DE,10,296268,200603,7139,0.5878216702049562,0.39801392829507354,0.014164401499970239,1,0,0
9,FL,12,5297045,5668731,101680,0.47861450725442234,0.5121981962250404,0.00918729652053733,0,1,0
10,GA,13,2474507,2461837,62222,0.4950433784409369,0.49250865148124484,0.012447970077818319,1,0,0
11,HI,15,366130,196864,11475,0.6373363923901899,0.3426886394217965,0.019974968188013628,1,0,0
12,IA,19,758881,897467,31962,0.4494915033376572,0.5315771392694469,0.018931357392895854,0,1,0
13,ID,16,287021,554118,26966,0.33062935935169135,0.6383075780003571,0.031063062647951573,0,1,0
14,IL,17,3449415,2434471,118861,0.5746394109230324,0.40555948801440406,0.019801101062563522,1,0,0
15,IN,18,1241774,1729446,63868,0.4091393725651447,0.5698174155082159,0.021043211926639358,0,1,0
16,KS,20,551199,753370,29761,0.41309046487750406,0.5646054574205781,0.022304077701917818,0,1,0
17,KY,21,772474,1326646,37648,0.3615151481115404,0.6208657186929044,0.017619133195555158,0,1,0
18,LA,22,856034,1255776,36252,0.39851456801526214,0.5846088241400853,0.01687660784465253,0,1,0
19,MA,25,2319420,1149614,80563,0.6534319248072387,0.32387169585730435,0.022696379335456953,1,0,0
20,MD,24,1977996,974606,57395,0.6571421831981893,0.32378969148474235,0.019068125317068422,1,0,0
21,ME,23,420588,342325,24039,0.5344519106629121,0.43500111823846943,0.030546971098618467,1,0,0
22,MI,26,2804039,2649852,90211,0.505769735116706,0.47795873885437173,0.01627152602892227,1,0,0
23,MN,27,1716578,1483807,68323,0.5251548930035965,0.45394296462088385,0.020902142375519624,1,0,0
24,MO,29,1252371,1717685,58077,0.41357859776964884,0.5672422578532713,0.01917914437707987,0,1,0
25,MS,28,539494,756731,19015,0.4101867339801101,0.5753558285940209,0.014457437425869043,0,1,0
26,MT,30,244786,343602,17362,0.4041040033016921,0.5672340074288073,0.02866198926950062,0,1,0
27,NC,37,2684302,2758775,81736,0.4858629604296109,0.4993426926848022,0.014794346885586897,0,1,0
28,ND,38,114902,235595,11322,0.31756762359080093,0.6511404873707572,0.03129188903844187,0,1,0
29,NE,31,374539,556792,20843,0.39335142526471,0.5847586680585691,0.02188990667672085,0,1,0
30,NH,33,424921,365654,13855,0.5282261974317218,0.45455042701042975,0.017223375557848416,1,0,0
31,NJ,34,2607331,1882454,75972,0.5710621480731454,0.4122983330037056,0.016639518923148997,1,0,0
32,NM,35,501615,401899,20458,0.5428898278302806,0.4349688085786149,0.022141363591104492,1,0,0
33,NV,32,703486,669890,32000,0.5005678195728402,0.4766624732455941,0.022769707181565645,1,0,0
34,NY,36,4015591,2963725,105668,0.5667748861535891,0.4183107541244977,0.014914359721913274,1,0,0
35,OH,39,2677738,3150642,97426,0.4518774323695376,0.5316815974063275,0.01644097022413491,0,1,0
36,OK,40,503890,1020280,36529,0.32286174335986634,0.6537327184806295,0.02340553815950417,0,1,0
37,OR,41,1346075,966537,72829,0.5642876935543575,0.40518168338684546,0.030530623058797095,1,0,0
38,PA,42,3459097,3377947,85887,0.49965787612212226,0.4879359623835627,0.012406161494315053,1,0,0
39,RI,44,306192,199830,7580,0.5961659027807524,0.3890755877118859,0.014758509507361732,1,0,0
40,SC,45,1091541,1385103,36685,0.43430088142061785,0.5511029395674024,0.014596179011979729,0,1,0
41,SD,46,150471,261043,11095,0.3560525213613529,0.6176938967225024,0.02625358191614471,0,1,0
42,TN,47,1139376,1849820,60318,0.37362543670893134,0.6065950180914074,0.019779545199661325,0,1,0
43,TX,48,5261055,5891778,171130,0.4645948595911166,0.520292939848002,0.01511220056088138,0,1,0
44,UT,49,560282,865140,62274,0.3766105440896527,0.5815300975468106,0.04185935836353664,0,1,0
45,VA,51,2413568,1962430,84526,0.5410951717780242,0.4399550366728214,0.018949791549154316,1,0,0
46,VT,50,242820,112704,11904,0.6608641693066397,0.3067376465593259,0.032398184134034426,1,0,0
47,WA,53,2366171,1581496,105927,0.5837217540779861,0.3901466205051616,0.026131625416852305,1,0,0
48,WI,55,1630716,1610151,56567,0.4945409066565093,0.488304238993108,0.01715485435038275,1,0,0
49,WV,54,235847,545051,13306,0.296960226843481,0.6862858912823405,0.016753881874178422,0,1,0
50,WY,56,73491,193559,9715,0.26553574332014523,0.6993622748541181,0.035101981825736636,0,1,0
