,state_id,STATEFP,seat_id,CD114FP,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
60,CA,06,43,43,198681,78485,0,0.7168303471565777,0.2831696528434223,0.0,1,0,0
61,CA,06,44,44,205418,0,0,1.0,0.0,0.0,1,0,0
62,CA,06,45,45,217129,188848,0,0.534830790906874,0.465169209093126,0.0,1,0,0
63,CA,06,46,46,152858,69363,0,0.687864783256308,0.3121352167436921,0.0,1,0,0
64,CA,06,47,47,195301,112456,0,0.6345948264377415,0.36540517356225855,0.0,1,0,0
65,CA,06,48,48,191341,199133,0,0.4900223830523927,0.5099776169476072,0.0,0,1,0
66,CA,06,49,49,204376,179696,0,0.5321293924055907,0.4678706075944094,0.0,1,0,0
67,CA,06,50,50,166649,195239,0,0.4604988283667875,0.5395011716332125,0.0,0,1,0
68,CA,06,51,51,163292,75159,0,0.6848031671077076,0.31519683289229233,0.0,1,0,0
69,CA,06,52,52,244074,152288,0,0.6157855697569393,0.3842144302430606,0.0,1,0,0
70,CA,06,53,53,334612,0,0,1.0,0.0,0.0,1,0,0
71,CO,08,1,1,331624,105954,12714,0.7364643386957797,0.23530064935641762,0.02823501194780276,1,0,0
72,CO,08,2,2,316918,182542,16190,0.6145990497430428,0.3540036846698342,0.031397265587123045,1,0,0
73,CO,08,3,3,193983,220505,14538,0.45214742230074634,0.513966519511638,0.03388605818761567,0,1,0
74,CO,08,4,4,173945,285605,15556,0.3661182978114358,0.601139535177413,0.032742167011151194,0,1,0
75,CO,08,5,5,161399,248830,21757,0.3736209043811605,0.5760140374919558,0.050365058126883744,0,1,0
76,CO,08,6,6,250366,175227,12969,0.5708793739539677,0.399548980531829,0.029571645514203236,1,0,0
77,CO,08,7,7,250525,159301,13865,0.5912917668772761,0.37598391280437865,0.03272432031834521,1,0,0
78,CT,09,1,1,224442,122088,4506,0.6393703209927187,0.34779338871226884,0.012836290295012478,1,0,0
79,CT,09,2,2,217982,140409,8854,0.5935601573881196,0.3823305967405955,0.024109245871284837,1,0,0
80,CT,09,3,3,238859,144577,6082,0.6132168474884344,0.371168983204884,0.01561416930668159,1,0,0
81,CT,09,4,4,225598,130635,5658,0.6233865998325463,0.3609788582750055,0.01563454189244828,1,0,0
82,CT,09,5,5,192543,152003,5052,0.5507554391043427,0.43479367730936674,0.01445088358629054,1,0,0
83,DE,10,1,1,281382,196392,10496,0.5762836135744568,0.4022200831507158,0.02149630327482745,1,0,0
84,FL,12,1,1,149172,283352,6038,0.3401389085237663,0.6460933687825211,0.013767722693712634,0,1,0
85,FL,12,2,2,0,305337,6662,0.0,0.9786473674595111,0.02135263254048891,0,1,0
86,FL,12,3,3,167326,223075,0,0.42860033657700675,0.5713996634229933,0.0,0,1,0
87,FL,12,4,4,196423,308497,20,0.3890026537806472,0.6109577375529766,3.960866637620311e-05,0,1,0
88,FL,12,5,5,219463,117510,0,0.6512776988067294,0.3487223011932707,0.0,1,0,0
