,Unnamed: 0,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
266,266,5001400,484486531,31838376,32,114,4832,C2,48,0.0,0.6168037586,0.6168037586,0.6168000936,0.0,0.13052621820000002,1.0,0.3833862701,0.3833862701,0.383388933,0.361284124,516364592.0238145,222963.7609862037
267,267,5001400,22309020193,3787038975,2,114,1202,C2,12,4810161.5,0.7412962984,0.7278214058,0.9727764055,0.0,0.2192560191,5.0,0.40016045409999995,0.41194399119999997,0.9315204881999999,0.46824781810000005,23241113371.03173,1154137.7178937935
268,268,5001400,18924328909,1443486198,3,114,1203,C2,12,5631098.5,0.7940514043000001,0.7841403853,0.8112729225,0.0,0.3287961096,6.0,0.5475715721,0.5479783224,0.6825948789,0.5734074552,19334736701.026188,859628.3464129927
269,269,5001400,4421754194,521023417,9,114,1209,C2,12,0.0,0.8006362026,0.8006362026,0.8006378648,0.0,0.3320683289,1.0,0.4920442574,0.4920442574,0.48371516840000006,0.5762537019,4943285790.269714,432512.89825828007
270,270,5001400,8409234752,128676543,2,114,3702,C2,37,0.0,0.7231885318000001,0.7231885318000001,0.7231879912000001,0.0,0.1124827794,1.0,0.4261406987,0.4261406987,0.4279907886,0.33538452469999996,8537975831.711013,976650.941494518
271,271,5001400,20228655381,10851829652,3,114,3703,C2,37,19750040.0,0.6326818308,0.5121487442,0.6975828422,0.0,0.0201978875,18.0,0.24510780559999998,0.2580329175,0.42910377409999995,0.1421192721,21294673076.681747,3639883.1856380966
272,272,5001400,20379600524,951809925,1,114,4801,C2,48,2187249.5,0.7685071993000001,0.7685071993000001,0.8112491887000001,0.0,0.22258684739999998,1.0,0.4255588295,0.4255588295,0.5502714618,0.4717911057,21332821627.799202,1097436.3316875743
273,273,5001400,23622537439,4536906806,27,114,4827,C2,48,4555728.5,0.5755474407,0.5715111189000001,0.628613309,0.0,0.0756497843,15.0,0.3631449471,0.36938567170000003,0.39526661770000004,0.2750450587,25362462981.903584,2052564.4273652702
274,274,5001400,548947579,16596620,33,114,4833,C2,48,0.0,0.42961391039999997,0.42961391039999997,0.42960625280000003,0.0,0.0476615879,1.0,0.22800077989999998,0.22800077989999998,0.22800236210000002,0.2183153404,565488724.6582407,386129.20731590776
275,275,5001400,799720228,54789647,2,114,4802,C2,48,0.0,0.42039275049999997,0.42039275049999997,0.42039126,0.0,0.0763867983,1.0,0.23678165690000003,0.23678165690000003,0.236783324,0.27638161710000003,854394893.8692766,374908.3391148812
276,276,5001400,26237677155,1010363159,4,114,4804,C2,48,2204230.5,0.7816251097,0.7816251097,0.8515001517,0.0,0.1858391257,1.0,0.37844608399999996,0.37844608399999996,0.5484730996,0.4310906235,27249986359.293236,1357436.4285707595
277,277,5001400,2349631043,191542824,26,114,4826,C2,48,0.0,0.9106376643999999,0.9106376643999999,0.9106471941,0.0,0.467765035,1.0,0.5640081899,0.5640081899,0.5451094799,0.6839335019,2541028823.730079,261273.7928982216
278,278,5001400,85986138620,503963005,4,114,404,C2,4,2084809.5,0.6229097847,0.6229097847,0.6681895784,0.0,0.12460032189999999,1.0,0.41051314479999995,0.41051314479999995,0.5210260468,0.3529877078,86494070645.26337,2953510.493961284
279,279,5001400,1618585153,10779717,6,114,406,C2,4,0.0,0.8228167223999999,0.8228167223999999,0.8228109318000001,0.0,0.3229507078,1.0,0.6965019007,0.6965019007,0.6724716487000001,0.5682875221,1629323620.1694655,251791.16565506
280,280,5001400,185805163025,418245836,2,114,3502,C2,35,1999670.0,0.8500725678000001,0.8500725678000001,0.9055694388,0.0,0.4047710856,1.0,0.5520311537,0.5520311537,0.7674420115,0.6362162255,186222257814.8964,2404451.2994730026
281,281,5001400,16452896591,68061594,4,114,1804,C2,18,2008584.0,0.817517783,0.817517783,0.8182568347,0.0,0.42396806200000003,1.0,0.46495513969999996,0.46495513969999996,0.5655384352,0.6511282992,16521449481.206556,699781.4637426403
282,282,5001400,787140388,4748773,7,114,1807,C2,18,0.0,0.9349933681,0.9349933681,0.9350038783,0.0,0.5178335406,1.0,0.6180231668,0.6180231668,0.6180266541,0.7196065179000001,791828149.9721459,138619.8141435945
283,283,5001400,13438318567,1207536256,5,114,4105,C2,41,2188199.0,0.6045956887,0.6045956887,0.6173722549,0.0,0.14015386130000002,1.0,0.3733723768,0.3733723768,0.40245469990000005,0.37437128810000003,13587138863.307009,1103739.0431493013
284,284,5001400,27236501013,382224178,18,114,1718,C2,17,2953111.5,0.739802773,0.739802773,0.7447927098,0.0,0.2311050518,1.0,0.49874106890000003,0.49874106890000003,0.5171393227000001,0.4807338679,27618764774.087997,1225469.0241486435
285,285,5001400,11334285918,290203822,4,114,2104,C2,21,2291078.5,0.5460189411,0.5460189411,0.6849535558,0.0,0.1350258632,1.0,0.21334815440000002,0.21334815440000002,0.3103299185,0.367458655,11626367134.521664,1040203.8750946595
286,286,5001400,17742770435,382978546,8,114,4708,C2,47,7066984.5,0.8182351454000001,0.8029675542,0.8540572677,0.0,0.27036275719999997,2.0,0.441340085,0.4429680982,0.6215052012,0.5199641884,18123879831.41641,917819.0880918362
287,287,5001400,776447458,31669301,10,114,1710,C2,17,2259177.0,0.6298889936,0.6298889936,0.6905199471,0.0,0.1931582001,1.0,0.379877943,0.379877943,0.4644751497,0.43949766799999995,807776663.9361955,229241.90475252672
288,288,5001400,20506303303,180730724,16,114,1716,C2,17,4001509.5,0.6715131156999999,0.6715131156999999,0.6716953841,0.0,0.2354493867,1.0,0.3526203229,0.3526203229,0.45857881759999997,0.4852312714,20686976662.76179,1050762.7355647068
289,289,5001400,38062213848,353578884,15,114,1715,C2,17,2125078.0,0.7036367768,0.7036367768,0.7425995711,0.0,0.2108395082,1.0,0.316134831,0.316134831,0.5631408595,0.4591726344,38417151334.18894,1513183.2106149115
290,290,5001400,13983476340,375017958,3,114,503,C2,5,2001199.5,0.5245429486,0.5245429486,0.532939881,0.0,0.140809243,1.0,0.3308109532,0.3308109532,0.4231093361,0.37524557700000005,14358186797.956833,1131981.031985795
291,291,5001400,1421426289,13615373,7,114,607,C2,6,0.0,0.8924334872,0.8924334872,0.8924463145,0.0,0.4594562425,1.0,0.6208045284,0.6208045284,0.6131879111,0.6778320165,1435049319.4195251,198114.50206945802
292,292,5001400,25636042190,100586550,23,114,623,C2,6,0.0,0.7197244772,0.7197244772,0.7197276595000001,0.0,0.1993856367,1.0,0.5336329472,0.5336329472,0.517140577,0.4465261882,25735156495.064907,1273565.8466429107
293,293,5001400,123458364,784655,34,114,634,C2,6,0.0,0.7281790595000001,0.7281790595000001,0.7281651323,0.0,0.2893437205,1.0,0.5133164382000001,0.5133164382000001,0.4967508375,0.5379067953,124280037.9617245,73468.06303004161
294,294,5001400,186580212,555896,43,114,643,C2,6,4527284.5,0.7253325970000001,0.7253325970000001,0.7253316934999999,0.0,0.3051166161,1.0,0.3698906946,0.3698906946,0.4674706298,0.5523736201,187114513.64797372,87786.0968748227
295,295,5001400,205536404,66883685,44,114,644,C2,6,2009398.0,0.660342705,0.660342705,0.6625901001,0.0,0.2392199476,1.0,0.2974763244,0.2974763244,0.3188679266,0.48910116299999995,221744541.74975264,107927.6462345492
296,296,5001400,565796998,2415551,28,114,628,C2,6,0.0,0.7081954815000001,0.7081954815000001,0.7081940284999999,0.0,0.18208484149999998,1.0,0.4082401553,0.4082401553,0.4080809703,0.4267140043,568458755.9564645,198069.4592886089
297,297,5001400,672277732,827548174,14,114,614,C2,6,5185899.0,0.6898268602,0.3542903986,0.8341903137000001,0.0,0.2209847709,2.0,0.3733828237,0.12761534789999998,0.4231050496,0.4700901731,697381319.5729572,199140.18868876013
298,298,5001400,185673009,2402661,46,114,646,C2,6,0.0,0.7294115015000001,0.7294115015000001,0.7293778009999999,0.0,0.2880546068,1.0,0.5130010079999999,0.5130010079999999,0.4834545839,0.5367071890999999,188074975.78628367,90580.1481553278
299,299,5001400,192027437,3460343,2,114,4202,C2,42,0.0,0.8659188373000001,0.8659188373000001,0.8659064229000001,0.0,0.394195846,1.0,0.5711590473,0.5711590473,0.5338535832,0.627850178,195468623.14207745,78938.2396508224
300,300,5001400,144600357804,1316079286,2,114,3202,C2,32,2302602.0,0.8898858006999999,0.8898858006999999,0.8966273968999999,0.0,0.5832669152000001,1.0,0.5117021224,0.5117021224,0.6850884992,0.7637191337,145915320408.5018,1773052.9576011081
301,301,5001400,3285411614,522155120,2,114,2202,C2,22,2977237.5,0.3819837292,0.3819837292,0.3862147488,0.0,0.0593452996,1.0,0.1789514839,0.1789514839,0.18340259620000002,0.24360890710000002,3804138608.8578124,897511.3199250912
302,302,5001400,11914085488,17975697,1,114,3501,C2,35,0.0,0.7123623305,0.7123623305,0.7123563908,0.0,0.2693798526,1.0,0.3727379309,0.3727379309,0.37274052280000003,0.5190181621,11931898626.976456,746065.8375049273
