,state_id,seat_id,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
64,CA,47,193822,111731,0,0.6343318507754793,0.3656681492245208,0.0,1,0,0
65,CA,48,191341,199133,0,0.4900223830523927,0.5099776169476072,0.0,0,1,0
66,CA,49,203973,179358,0,0.532106717171322,0.4678932828286781,0.0,1,0,0
67,CA,50,163204,191312,0,0.46035721942028,0.5396427805797199,0.0,0,1,0
68,CA,51,160211,73135,0,0.6865812998722927,0.31341870012770734,0.0,1,0,0
69,CA,52,243697,151995,0,0.6158754789078374,0.3841245210921626,0.0,1,0,0
70,CA,53,334032,0,0,1.0,0.0,0.0,1,0,0
71,CO,1,331624,105954,12714,0.7364643386957797,0.23530064935641762,0.02823501194780276,1,0,0
72,CO,2,316916,182539,16189,0.6146023225326,0.3540019858662178,0.03139569160118221,1,0,0
73,CO,3,193980,220502,14536,0.4521488608869558,0.5139691108531577,0.03388202825988653,0,1,0
74,CO,4,173940,285594,15555,0.3661208741940984,0.6011378920581196,0.032741233747782,0,1,0
75,CO,5,161399,248829,21757,0.3736217692743961,0.5760130560088892,0.0503651747167147,0,1,0
76,CO,6,250366,175227,12969,0.5708793739539677,0.399548980531829,0.029571645514203236,1,0,0
77,CO,7,250524,159301,13865,0.591290802237485,0.37598480020769903,0.03272439755481602,1,0,0
78,CT,1,224442,122088,4506,0.6393703209927187,0.34779338871226884,0.012836290295012478,1,0,0
79,CT,2,217982,140409,8854,0.5935601573881196,0.3823305967405955,0.024109245871284837,1,0,0
80,CT,3,238717,144486,6077,0.6132269831483765,0.3711621454993835,0.015610871352240032,1,0,0
81,CT,4,225598,130635,5658,0.6233865998325463,0.3609788582750055,0.01563454189244828,1,0,0
82,CT,5,192543,152003,5052,0.5507554391043427,0.43479367730936674,0.01445088358629054,1,0,0
83,DE,1,281382,196392,10496,0.5762836135744568,0.4022200831507158,0.02149630327482745,1,0,0
84,FL,1,149172,283352,6038,0.3401389085237663,0.6460933687825211,0.013767722693712634,0,1,0
85,FL,2,0,305337,6662,0.0,0.9786473674595111,0.02135263254048891,0,1,0
86,FL,3,167326,223075,0,0.42860033657700675,0.5713996634229933,0.0,0,1,0
87,FL,4,196423,308497,20,0.3890026537806472,0.6109577375529766,3.960866637620311e-05,0,1,0
88,FL,5,219463,117510,0,0.6512776988067294,0.3487223011932707,0.0,1,0,0
89,FL,6,172305,265393,158,0.3935197873273405,0.6061193634436892,0.0003608492289702551,0,1,0
90,FL,7,224946,175750,5753,0.553442129270831,0.43240357338805113,0.014154297341117828,1,0,0
91,FL,8,177680,282279,0,0.3862953002332817,0.6137046997667184,0.0,0,1,0
92,FL,9,240724,188889,19,0.5603027707433338,0.43965300536272905,4.42238939371369e-05,1,0,0
93,FL,10,239434,136889,0,0.6362459908110851,0.3637540091889148,0.0,1,0,0
94,FL,11,158094,316979,0,0.3327783309091445,0.6672216690908556,0.0,0,1,0
95,FL,12,168194,284941,0,0.37117856709369174,0.6288214329063083,0.0,0,1,0
96,FL,13,215405,190713,7,0.5303908895044629,0.46959187442289935,1.7236072637734686e-05,1,0,0
97,FL,14,224240,147896,0,0.6025754025410065,0.3974245974589935,0.0,1,0,0
98,FL,15,174383,216372,0,0.4462719606914819,0.5537280393085181,0.0,0,1,0
99,FL,16,215454,268772,0,0.4449451289274017,0.5550548710725983,0.0,0,1,0
100,FL,17,140487,266514,5396,0.340659607126143,0.6462559135978195,0.013084479276037411,0,1,0
101,FL,18,186674,253286,9760,0.4150893889531264,0.5632082184470337,0.0217023925998399,0,1,0
102,FL,19,172146,272440,0,0.38720517515171415,0.6127948248482858,0.0,0,1,0
103,FL,20,253661,68748,0,0.7867677391139826,0.21323226088601746,0.0,1,0,0
104,FL,21,237925,157612,7544,0.5902659763174151,0.39101818244968134,0.01871584123290356,1,0,0
105,FL,22,235764,166553,0,0.5860155051862089,0.4139844948137911,0.0,1,0,0
106,FL,23,221239,158874,83,0.5819077528432703,0.4178739387052994,0.00021830845143031488,1,0,0
107,FL,24,218825,59084,11729,0.7555120529764741,0.20399257003569973,0.04049537698782618,1,0,0
108,FL,26,165407,177223,0,0.4827569097860666,0.5172430902139334,0.0,0,1,0
109,FL,27,166758,176141,76,0.486210365186967,0.513568044318099,0.0002215904949340331,0,1,0
110,GA,1,135383,189579,0,0.41661178845526553,0.5833882115447344,0.0,0,1,0
111,GA,2,161398,111615,0,0.5911733140912704,0.4088266859087296,0.0,1,0,0
112,GA,3,129054,240134,18,0.34954469862353266,0.6504065481059355,4.875327053189818e-05,0,1,0
113,GA,4,278823,69386,0,0.8007346162793035,0.19926538372069647,0.0,1,0,0
114,GA,5,301854,52646,0,0.8514922425952045,0.1485077574047955,0.0,1,0,0
115,GA,6,216775,180329,0,0.5458897417301262,0.4541102582698739,0.0,1,0,0
116,GA,7,190900,180564,0,0.5139125191135615,0.48608748088643855,0.0,1,0,0
117,GA,8,109263,198698,24,0.35476727762715715,0.6451547964998295,7.79258730132961e-05,0,1,0
118,GA,9,79797,292747,3,0.21419310852053566,0.7857988388042314,8.052675232923632e-06,0,1,0
119,GA,10,142598,235580,60,0.37700601208762735,0.6228353576319672,0.000158630280405459,0,1,0
120,GA,11,160623,245259,0,0.3957381702071045,0.6042618297928954,0.0,0,1,0
121,GA,12,129061,181039,0,0.41619155111254436,0.5838084488874556,0.0,0,1,0
122,GA,13,278552,81154,0,0.7743879723996819,0.22561202760031804,0.0,1,0,0
123,GA,14,76860,227885,323,0.25194382891683165,0.7469973907456698,0.0010587803374985248,0,1,0
124,HI,1,183245,71188,0,0.7202092495863351,0.2797907504136649,0.0,1,0,0
125,HI,2,171454,83987,16542,0.6303849872970002,0.3087950349838041,0.060819977719195686,1,0,0
126,IA,1,201347,212088,0,0.487010049947392,0.5129899500526081,0.0,0,1,0
127,IA,2,196812,196860,0,0.49993903554227886,0.5000609644577212,0.0,0,0,0
